sample,region,X,Y
5240534,England,602000,237000
5274223,England,583000,161000
5278287,England,411000,278000
5280261,England,364000,233000
5280302,England,582000,215000
5280440,England,547000,211000
5281258,England,374000,229000
5282975,England,333000,386000
5283083,England,332000,125000
5288351,England,361000,227000
5321804,England,297000,103000
5322186,Scotland,276000,894000
5324364,England,371000,222000
5327399,England,443000,438000
5327477,Wales,316000,234000
5330978,Wales,294000,181000
5332322,England,336000,124000
5333261,England,502000,131000
5333320,England,498000,364000
5343769,England,209000,65000
5345189,England,620000,310000
5345819,England,453000,108000
5347747,England,398000,255000
5349616,England,413000,226000
5349848,England,436000,210000
5352261,England,455000,206000
5352581,England,410000,418000
5365751,England,416000,501000
5368386,England,418000,498000
5372341,England,376000,222000
5373617,England,347000,153000
5381719,England,458000,107000
5395628,England,517000,207000
5415585,England,509000,175000
5420594,England,524000,221000
5532782,England,502000,215000
5547956,England,523000,186000
5559173,England,423000,187000
5563018,England,568000,162000
5568574,England,393000,334000
5572134,England,538000,128000
5576242,England,402000,393000
5579726,England,527000,217000
5587141,England,295000,139000
5592028,England,439000,560000
5592067,England,371000,224000
5595316,England,328000,138000
5602532,Wales,257000,354000
5604849,England,512000,175000
5605798,England,501000,198000
5605902,England,524000,205000
5614438,England,529000,153000
5615677,England,451000,392000
5624622,England,517000,208000
5635890,England,393000,246000
5635905,England,395000,244000
5636007,England,346000,242000
5638857,England,367000,177000
5647229,England,529000,180000
5647437,England,461000,153000
5648895,England,398000,227000
5652561,England,506000,158000
5652571,England,461000,85000
5652716,England,516000,168000
5652720,England,521000,160000
5652733,England,552000,154000
5659148,England,303000,141000
5674509,England,495000,353000
5689947,England,443000,104000
5693151,England,491000,169000
5698817,England,465000,130000
5706145,Scotland,227000,643000
5709428,England,416000,126000
5715258,England,401000,242000
5721844,England,467000,174000
5722361,England,506000,345000
5725663,England,520000,225000
5727065,England,521000,148000
5730715,England,159000,28000
5730886,England,354000,173000
5784646,England,557000,235000
5789812,Wales,334000,221000
5857922,England,416000,126000
5871542,England,527000,217000
5873768,England,526000,146000
5886486,England,334000,127000
5894061,England,489000,158000
5896382,England,442000,177000
